userName,score,content
arif ramadhan,5,"Skarang lumayan lah,pengiriman cepat banget,skarang sdah sangat bagus,makasih bl"
Virginia Kurnia 075,1,"Penipuan ini mah. Mau kirim barang udah tf tpi gak di konfirm"". Sampai kadaluarsa. Dan gatau gimana cara tarik uangnya. Nyesel banget"
PRI JAYA TEKNIK,5,"untuk aplikasi sangat mantap, hanya saja pada saat buka aplikasi muncul pop-up iklan promo, yg menurut saya sangat risih."
Hendi Kinoy,5,Bukalapak emang yg terbaik pertahankan dan sukses selalu
Candra Budi,4,Kenapa sekarang credits tak bisa ditambahkan dalam pembayaran? Kenapa habis batal pesenan mau order lagi susah?
Jemboet Magic,1,Kenapa sertifikat di dashboard saya belum muncul-muncul sudah 1 bulan ingin mengajukan pengaduan tidak di respon sama sekali pelayanannya sungguh sangat mengecewakan
Arif Dharmawan,5,"Mantap barang original untuk di pasang selamanya di mobil. Ayo gan yang mau pasang cari yang original, puas walau mahal dikit tapi kepuasan tidak bisa di nilai dgn uang. Pokoke mantap sekali."
Arafah Shofiya,5,"boleh dicoba paylaternya sprt apa, lbh bagus atau tidak dr appl lain."
Herman Jordan,5,Sangat membantu mencari kebutuhan
Sandy Sagoro,4,"Bukalapak sekarang payah, disarankan untuk memberikan ulasan dan dapat credit 400, nyatanya ga dapat. Saya cb aplikasi orange malah lebih murah. Thanks"
Cemat Bintang Pamungkas,5,"Belanja di Bukalapak sangat memuaskan, barangnya bagus-bagus pengiriman nya juga cepat.👍👍👍"
Rizky Yuliansyah,5,Bagus dan cepat
De RTF yah,5,Mudah dan simple
Muhammad Miftah,5,bagus aplikasinya.....komplit hampir semua barang2 ada...dan masalah harga relatif...
fawzan anshary,2,"filter gratis ongkir di pencarian balikin lagi bos, di versi terbaru kok ngilang"
Sy_P,1,Top up Lewat buka lapak saldo belom masuk tapi saldo di ATM udh ke potong semoga hal seperti ini segera di perbaiki
Eko Prasetyo,5,Sangat bagus dan membantu klo lg pengen cari barang yg susah di pasaran
Nurul Hidayah,3,Kesan pertama saya pakai buka lapak: 😕❓bingung ( katanya gratis ongkir tapi...ternyata Cuman 10k terus kayak gak ada yang spesial untuk pengguna baru beda banget sama online di sebelah. Itu aja deh komentar saya tentang buka lapak in😓🙏
Wahidin Wahid,5,"Ok mantab,lebih mantab lagi nich,bisa lebih banyak pilihan pembayarannya"
Dimas Channel,1,Kenapa akunnya keluar terus GK bisa masuk tolong perbaikan yang benar
FRANS Ch 81,5,Sangat memudahkan transaksi belanja
Acep Endrawan,5,Bukalapak benar2 ok..saya selalu bayar tepat waktu.tapi tolong dong limit saya ditambah..trms..
Senal Penjaga Hati,4,Aku gak bisa login gara gara no hp hilang dan hp aku pernah tereset pabrik padahal udah sekian lama mau bayar hutang paylater tapi gak bisa login 😭😭😭mohon di tindak lebih lanjut agar masalahku terselesaikan
Heru 13,1,"Banyak masalah di sistem pengiriman, dari Drive ojek online pembatalan ke 2 langsung dikirim manual dan pencairan dana lama, dan sudah dikirim secara manual ,barang sudah sampai customer mlh pesanan di batalkan oleh pihak Bukalapak"
sosmiadi rasyid,5,Durasi waktu pengiriman barang relatif cepat dan kemasan cukup baik
Adik Priatna,5,"ok ok pokonya sip sangat membantu buat pencarian produk yg terbaik, blanja pun bisa dgn cara pembayaran COD terimakasih Bukalapak salam sukses selalu.."
HDR Gaming,1,"Platform Digital terburuk dari semua sisi,apalagi live chat nya,dihubungi dari via apapun tidak ada balasan sama sekali.Kalau mau beli Pelatihan Prakerja saya sarankan jangan pernah melalui platform ini kalau tidak mau menyesal."
Rizki,5,"Bukalapak : Belanja online terlengkap, terbaik, dan terpercaya.."
Tatu Kholifah,4,"Bagus pelayanannya, cepat juga sampai nya"
Sosial Sirad,5,Mantap.. Dan masih pakai aplikasi ini.. Blm yg lain. Sukses buat Bukalapak..
Paund Tanuki,1,"tidak ada fitur chat live admin. dan kedua juga saya sudah ditipu sama pelapak saya minta ganti rugi tidak direspon pelapak bahkan akun saya diblokir. saya sudah melapor sama admin bukalapak malah diarahin chat diskusi komplain, sangat kecewa sekali tidak seperti shopee sama tokopedia ada fitur chat live admin jadi bisa ngelaporin pelapak penipu. maaf saya kasih bintang 1 karena admin bukalapak tidak membantu pembeli yang sudah ditipu sama pelapak 🙏🏻 agak kecewa berat sama fitur nya"
Onyo Bermutu,5,Barang sesuai pesanan dan cepat sampai
Fathandiaz Emirsya Nurwanto,5,"(06 Agt 2020) Pengoperasian aplikasi sangat praktis, jadi cari barang dan urusan lainnya (mencari profil, atau melihat produk favorit) lebih mudah (28 Des 2021) Makin ajib nih Bukalapak 👍, fitur-fiturnya makin mudah dicari, desain layar rapi gak kaya aplikasi biru"
Rakha Hanif,5,"Bagus banget tampilannya bikin nyaman, tapi bakal lebih mantep lagi kalo ada tampilan dark mode"
Rifki Nurhidayat,5,Sangat bagus rekomendasi banget buat beli pelatihan lewat bukalapak trimakasih
Ilham Thamrin,5,Aplikasi belanja online yg sempurna
Ericsson Harel,4,mayan lah... aplikasi buatan lokal selain tokped.. jd bakal i dukung
Marsudi Bale,5,Buka lapak sangat menarik dan sangat bermanfaat
Nur Havifa,5,Memberikan kemudahan dalam bertransaksi dan costumer servis nya pun baik-baik 🥰
Doni Romdoni,5,Semakin lengkap fiturnya
Muhammad Nur,5,Sangat nyaman menggunakan aplikasi ini sungguh sungguh bermanfaat
Mega Windy,5,Terimakasih bukalapak saya membeli pelatihan prakerja disini mengambil kelas skill academy sangat mudah dan bagus:)
Sutanto Sutanto,5,Terimakasih barang sudah tiba walopun saya belom liat barangnya tapi saya yakin sesuai keyakinan adalah prinsip
Gun Gun,5,sangat membantu untuk belanja
Nabila Chaniago,5,"Assalamualaikum... Saya Demos Sitorus pesarta program kartu prakerja, saya mengikuti program kartu prakerja lewat buka lapak,untuk membeli pelatihan online prosesnya sangat mudah dan materinya sangat mudah di pahami dan ujian semoga sertifikat saya segera muncul di dasbord prakerja terimakasih bukalapak😍😍"
Belajar Ilmu,3,"Sekarang di bukalapak barang2nya lebih mahal dari toko online lainnya, meski sudah di setel termurah. Gimana mau menang saingan? Coba aja cek sendiri."
Didin Hidayat,5,Tetap semangat untuk bukalapak.. MP buatan lokal harus di dukung sampai kapanpun.. semoga bisa jadi primadona di indonesia
SUPRIADI RIADI,5,"Sangat baik, respon sangat cepat, trimakasih aplikasi Bukalapak, semoga semakin berkembang 🤲🙏"
hasbun arrahman,1,"layanan live chat tidak helpfull dan lama, live chat tapi masih seperti dijawab dengan robot..."
Hayati Nur aini,5,Bagus sih.. Tpi gk bisa aktifkan payleter bagi pengguna baru
Tan Anton,4,Tolong kepada bukalapak peringatkan pelapak yang selalu telat kirim barang karena merugikan konsumen dari segi waktu & kebutuhan.
Leni Marlena,5,"Mantap lah skrg ad payletter nya jga, klo bisa sih adakan cicilan biar gak cuma pembayaran 30hari saja, sprti e-commerce sblh 😁👍"
Khaerul lisan,5,"Bukalapak is very good, bisa melakukan pembayaran apa aja, poko ke lengkap selengkap lengkap ya,,,, buruan yg belum menggunakan bukalpak langsung donload."
ahmad fauzi,5,Mempermudah mencari sesuatu yg kt perlu kn
Sam Suri,5,Hai Bl... sy ad trasaksi tp nggk di respon oleh pelapak..di batalkan juga susah..trs bgaimana transaksi sy itu..cari bantuan juga susah..
Niwang Setiawan,1,Sekarang JNE truking ga bsa di pake.cuma ada di list kurir ja.pas mau bayar ga ada JNE treking..payah Bukalapak sekarang.ga kaya dlu. Sekarang kalw mau blanja yg berat ke lapak sebelah yg ada cargonya biar lebih murah ongkir nya
MOH. TASIDI ARIYANTO,5,"Produk bagus dan berkualitas, harganya terjangkau.."
alkayisa silfia,5,Trimakasih untuk semua ...sangat memuaskan bukaklapak
Khalid Batulicin,5,"Lebih mudah,, bisa bayar angsuran, terimakasih Bukalapak"
Inong Arnavat,5,"Banyak pilihan toko,, titp saja klo bida pilih via pengiriman yg irit biaya ongkir"
Arfan Almaidah,5,Terimakasih bukalapak. Kamu aplikasi yang sangat bagus dan mudah di pahami
Devy Hs,5,App nya bagus sekali barang banyak diskon
Rachmawaty Ramandha,5,Masih belum dapat jawaban dari pihak Bukalapak tentang pengaduan saya yang sudah 5X pengaduan.
Jufri Biga,1,Sangat buruk pembayaran tidak terverifikasi sampai saat ini.👎👎👎
Arsyakananta,5,"Saya beli pulsa 2 kali dengan nilai 20.000 yang masuk cuman satu kali,saya komplain tak ada penjelasan dan harus bayar 2 kali ditagihan paylater.mohon untuk kejelasanya kak."
maulanaEM7 Banten,5,Sangat² membantu untuk bisa membeli Di *bukalapak shop* dan membayarkan lewat *akulaku* pokoknya terimakasih deh buat *bukalapak* keren 😎
Mustofa rafardhan,1,mending pikir2 dulu kalian pakek aplikasi ini karna terlalu ribet komplin barang yg tidak sesuai pesanan mending pakek aplikasi lain dan saya udah 3 tahun pakek aplikasi ini nyessel kenapa gak dari dulu pindah aplikasi lain
J A Y,5,"Sangat membantu utk transaksi jual beli barang bekas maupun baru,, menjadikan penjual dan pembeli semakin percaya diri utk berbelanja..mantab 👍🏻👍🏻👍🏻👍🏻👍🏻"
Della Ariestya Efendi,5,"Aplikasi bagus, terima kasih buka lapak sudah menjadi mitra prakerja"
Umi Nurlaela,4,Sangat membantu untuk berbelanja tanpa keluar rumah di stuasi seperti ini
Ju Igo,4,"Pencarian terbaik dr toko lain, hanya saja fitur ""filter saat ini"" di pencarian barang kenapa dihilangkan, dan pencarian berdasarkan kota yg sudah kita pilih akan hilang ketika mencari barang lain. Tolong ini sangat mempermudah pembelian barang."
Randa Prionaldi,5,Cepat Utuk proses pembayaran tagihan..
Yusraini Rangkuti,5,Caranya mudah dan praktis
Akmalul Harif,1,"Saya meminta kepada pihak bukalapak jangan maksa orang minta datanya, seperti NIK, seperti verifikasi Foto KTP, kami tidak akan rugi kalau tidak mengunakan bukalapak karna banyak akun belanja yang lain... ini mau membekukan segala akun nya.. klw tidak verifikasi.. anda siapa maksa2 segala.. saya tidak suka dengan cara anda meminta data orang secara iligal...."
Ahmad Dhani,5,Disini sangatt nyaman dalam berbelanja
lailatulhusnah spd,5,"Bukalapak sangat bagus.. Memudahkan,, Sukses selalu buka lapak.. Semoga tmbah bagus.. Dan sertifikat lrakerja q segera tampil di dasbord.."
Iqbal Rasyid,5,Membantu saya dalam berbelanja dan lapaknya pun dapat di percaya
Luthfi Abdillah,3,"Bukalapak paylater dibekukan, apa bisa aktif lagi?"
Rizky Adiyanto,5,Sangat membantu untuk berbelanja
ipan piyanto,5,"Untuk pemula seperti saya,bukalapak sangat membantu sekali.Dan sangat mudah sekali bertransaksi. Semoga bukalapak semakin sukses."
ngudi rahayu,5,"Nyaman belanja disini , selama ini lancar jaya ... Udah bisa pakai double voucher ... Mantab.."
Hen Dri,5,Sangat membantu saya dan orang banyak dalam mencari kebutuhan barang. Trims
Dodi Dodi,5,Terimakasih bakingworld.id dan bukalapak atas pelatihan prakerja nya sangat manfaat buat saya .sukses selalu buat semua nya
Mas Debo,1,Saya sudah melakukan pembayaran pesanan tapi tidak terverikasi malah pesanan jadi kadaluarsa uang sudah masuk dan melakukan pembayaran pengaduan bantuan kirim email jawaban nya itu-itu aja marketplace sebelah simpel ini kok susah amat bantuan pun susah jawab nya muter-muter . Jika saldo saya sudah kembali secepatnya saya kasih bintang 5.👍 Udah telpon berkali-kali proses terus pulsa habis banyak
Isdiatul Nuriyah,4,Aplikasi bagus dan mudah d gunakan
Ayi Ismaililyas,5,"Tingkatkan terus sistem yg ada, kalau bs ada nmr pengaduan utk konsumen sehingga mempermudah utk segala masalah atau kendala dlm transaksi"
Oma bk,5,Dengan aplikasi Bukalapak belanja apa saja ada dan pengiriman pun cepat..
Bunda Narsies,4,"aplikasi dengan segala barang ada disini,sangat membantu disaat kita membutuhkan sesuatu"
muhammad ihsan,1,"aplikasi paling buruk,semua voucher ga bisa digunain,cm diiming2i doang"
ahmad rika,4,"Bukalapak memang top, rumah siap kerja is the best. Program prakerja memang oke"
Marfuatun Atun,5,"Apk belanja online yg sangat bagus, memudahkan saya dalam berbelanja"
FLASH VIDEO,1,"Waktu cek aplikasi d situ saya dpet voucher 8 rb untuk pembelian pulsa,sya klaim untuk pembelian pulsa d nomer lain karena saya pake 2 nomer di 1 hp,setelah sya order pulsa lwt akun ewallet dana terpotong dr pembelian pulsa 100rb-8rb total pengeluaran saldo akun dana sya terpotong 92 rb,tp proses mulai dari tggl 24 mei sampe ulasan ini sya tulis lbih tepatnya pukl 01 / skitar kurang dr jam 2 pagi blm ada pulsa masuk,klo pun sbnernya gak bisa d proses alangkah baik nya saldo saya d kembalikan aja"
Danisa Lein,5,"Sangat membantu saya,dan mudah di pahami"
Deden Kurnia,2,"Baru diinstal udah crash, gimana palainya ni aplikasi"
Rivoanggaracandra Candra,5,Kenapa ga bisa aktif paylater ya
Nando Ahmad,2,"Saya kurangi bintang nya... Kenapa saya GK bsa melakukan transaksi pakai paylater padahal limitnya Ada ??? Salahnya dimana !!! Klo emang GK bisa lagi, tolong hapus aja data data saya jgn sampai di salahgunakan."
Akhmad Yusuf,1,Parah live chat yh kaga bisa menyelesaikan permasalahan transaksi selalu di batalkan...!!!
Benny Serpentfire,1,Ga bisa chat penjual Ongkirnya sekarang mahal...!!! Makin ancur aja nih aplikasi
Albi Muhammad,3,"Kok saya gk bisa mengubah kata sandi,, setiap ingin saya ubah ada tulisan maaf kamu belom bisa mengubah info akun, silakan hubungi buka bantuan.. Tolong dong min"
Vandi ardian,5,"Simple, nggag lelet, banyak promo, tapi lebih bagus lagi kalo promo.nya lebih di banyakin lg hehehe"
NDS Tv,5,Bagus banget recomended untuk berbelanja
Sain Santos,1,Setelah di upgrade malqh gak bisa dibuka...ampun.....
Asep Kusuma Praja,1,Kenapa saya susah banget pembayaran menggunakan ovo ada apa bos sistem perbaikin agar pelanggan anda puas ini mempersulit aja yang bener dong gua jadi kesel makin lama apa aplikasi anda tidak mau di gunakan
zammy alfatih,1,Ini buka lapak update nya gak jelas. Lihat tracking pembelian dimana deh 🤦
Maju Jaya,2,Lapak ane dibekukan...😥 Entah bagaimana caranya agar ane bisa kembali jualan . Ini minta bantuannya kemana min...??? Tolong dikomfirm min...😔 Ane kasih 2 star dulu. Jika problem terselesaikan star ane rombak jdi 5. 👍
Banu Bassae,5,"Kerenn..solusi belanja nggak pake antre, nggak pake nawar.. Aman..amanah.."
Danu Umbara,3,Mulai ada masalah dengan pengiriman yang tidak lagi secepat dahulu
Jalinan Kasih,1,Bisa tidak kalau updatenya tidak setiap bulan. Nih update mulu
Zaviar Abrori,5,"Alhamdulillah setelah di hapus,trus download lagi..langsung bisa di buka aplikasi Bukalapaknya,,tdinya ga bisa buka,,harus update terus"
Hanz Dhie,1,"kapok belanja disini, minta barang di retur tidak bisa. dengan alasan foto belum cukup jelas"
Oding Sevenfold,1,"Bug nya parah padahal pagi masih bisa transaksi tapi sekarang malah d suruh login lagi,pas login nunggu sms verifikasi lama smpe sekarang belum ada,nyesel,kapok saya,klo akun saya tdk ada saldo nya mending pindah ke apk sebelah aja deh"
ADE HIRAWAN,5,Semoga terus di perbaiki agar lebih mudah dan di sukai banyak pembeli
Reza Oktarindah,1,"Bukalapak sekarang bukan seperti dulu konsumen ada komplin cepat di proses, sekarang CS hanya sekedar kasih info padahal tindakan tidak ada sama sekali. Sangat kecewa terhadap pihak bukalapak, pecat saja itu semua CS makan gaji buta. Tanggapan konsumen bkan segera di tindak sampai sekarang tidak ada... K.E.C.E.W.A...."
awan 999,5,Belanja online mudah dan tdk perlu repot....
publik populer,2,Aneh kalau di apk ini th pencarian barang th di paksa sama bukalapak gak bebas.. pilih ini itu.. pantesan temen saya pada gak mau bukalapk.. ya gak bisa suka suka cari barang th..
Andri Saputra,4,Setelah update terbaru knp tidak bisa klik kolom pencarian ya
Taha Romadon,5,Sangat mudah aplikasi ini dan tidak rumit
Rahardian music n liyric,5,"Bagusss,,, Akses lancar , fitur lengkap"
Indah Ayu,5,Sangat bagus dan cocok untuk belanja🥰
Karimata fishing Clup,5,Terimakasih Bukalapak sudah sangat membatu dlm transaksi kami...
prie yanto,5,Belanja online sangat mudah dan terpercaya
Sri Liasta Liasta Bangun,1,Aplikasi berbahaya.uang kita di bekukan tidak bisa di gunakan
Azizah Putri,5,"Alhamdulillah saya bisa bergabung di Bukalapak, semoga saya banyak rejekinya biar bisa beli di Bukalapak terus."
Losiau Hoky,1,"Makin kesini makin hancur hancur hancur. Pengiriman COD,barang sudah di kirim berhari2,tracking resi sudah berjalan,barang pun sudah di antar ke alamat tujuan(kemungkinan di tolak pembeli yg miskin harta miskin akhlat miskin kesadaran diri). Di lapak keterangan y malah PESANAN DI BATALKAN alasan ANDA MENGABAIKAN PESANAN INI waras??? COD sudah saya tutup,tetap di buka otomatis oleh anda. Mau buka komplen tanya barang saya dimana,nyari tombol komplen di aplikasi y ga ada,,hancur ini marketplace."
Amir Chelsea,5,"Cepat, mudah dan aman..👍"
Jajan_Atos _Id,5,"Mantab, selalu belanja di bl"
Arianah Zahara,5,"Alhamdulillah aplikasinya membantu, mitra prakerja yang rekomendasi"
joko teguh,5,sangat simple dan mudah di gunakan
Aef Saepuloh,5,"alhamdulillah beli pelajaran program prakerja di bukalapak, sangat mudah,murah ,dan terarah"
Mbahbull,1,"Terlalu banyak biaya layanan juga biaya admin,beli pulsa 20ribu + biaya layanan bulanan + biaya admin indo/alfa ..ga rekomen bgt ni aplikasi paylater"
noviyar cun,5,"Bagus, Cuma Sayang nya sering terjadi pembatalan otomatis jika melakukan pembayaran melalui paylater, tolong diperbaiki lagi, biar lebih mudah bertransaksi. Terima Kasih"
Rozi Maulana,5,Sudah lama pakai layanan Bukalapak & banyak membatu saya dalam berbelanja.
Sonie Haryono,5,"Aplikasi simpel dg fitur cukup lengkap, bisa belanja apa saja, kapan saja, suka- suka. Banyak promonya yg menarik, sukses buat Bukalapak."
tasdyano,1,Saya kecewa dgn bukalapak emas pembelian saya tidak bisa di jual. Menghubungi costumer serves gak di respon.
ahmadnurulhuda madridista,1,Sistem apk nya sangat buruk edit profil tidak bisa respon gak stabil No dana yg terdaftar tidak sesuai dg no yg terverifikasi di akun Jaringan sudah baik tapi sistem aplikasi yg buruk jadi respon aplikasi tidak stabil
Arija Widada,4,"Aplikasinya berat, loadingnya lama. Dibandingkan dengan aplikasi OLshop sebelah. Padahal sudah update aplikasi."
aimar raka,1,"Pengalaman pertama belanja di buka lapak chips domino saldo sudah kepotong. Pesanan tidak datang 2jam. Pengajuan pengembalian dana melalui bantuan, tetep saldo saya tidak kunjung dikembalikan 3hari inj"
Teguh Sabam,1,"Kenapa paylater saya tiba"" Di bekukan, padahal baru aja bayar paylater.. Udah ikuti intruksi bukabantuan tetap ga bisa juga.... Tolong dong diperbaiki"
Elis Susilawati,5,"Dengan adanya pembelian prakerja di Bukalapak sangat mudah dan lebih praktis, terimakasih banyak Bukalapak sukses selalu...amin"
Fitrah Kurniawan,1,"Saya sekarang sudah tidak pernah belanja di Bukalapak karena susah komplainnya, Bukalapak lebih pro ke pedagang/pelapak. Lebih baik di tempat lain jangan di Bukalapak."
Saprol Channel,2,"Lama gadibuka, sekali dibuka ada update. Nunggu update kelar eh terjadi kesalahan.. gitu aja terus ampe dapet gratis ongkir tiap hari 🥴"
tohir tohiran,5,"ribet banget mau mindahin uang saya dari bukadompet,kecewa belanja di bukalapak barang yg dijual dah nggk ada tetep aja dipajang"
Winda Ayu,5,Sangat membatu untuk prakerjaaa. Dan sangatt the bestttt. Pilihann utama untuk prakerjaa di buka lapakk ajaaaaa
dedi supriyadi,5,Mantap.. Buka Aplikasi cepat. Tdk lola sprt aplikasi blnja online serupa
Lalu Eddy Soedradjat,4,"Cukup memuaskan,aplikasi bagus,no komen untuk komplain karna saya baru sekali order dibukalapak hasilnya memuaskan.gak tau kedepanya bintang 4 dulu lah."
Poo Sucen,5,Para peLapak nya perlu ditingkatkan layanan serta ketersediaan barang dagangan nya
Donnie 349,5,Mantap sering belanja barang bermerek dengan harga terjangkau meski sekend tapi good condition
jangkawareng1993,5,Mohon infonya pak Gimana cara nya masuk ke aplikasi.. nomor saya hangus tidak menerima Otp Sudah pakai Email pun masuk merima otp ke nomor.. bingung saya Nomornya hangus
Nina Suparliena,5,Semoga bisa belanja teruss disini. Biar bisa pake paylater
Dedi Syahputra,1,Apalikasi ini biadap. Toko2 yg jualan di sini penipu semua. Saya sudah tertipu 2 x. Memang aplikasi tak berguna.
Honda Supra fit,5,Kadang louding nya lama tapi ggp mungkin sinyal nya kurang bagus
syahrul chusaeni,5,"Terimakasih bukalapak, pengiriman cepat sekali"
Azis Febrian Chanel,1,"Fitur kurang lengkap tidak ada login menggunakan sandi, jika nmr hilang di persulit, cs respon nya kurang"
easy computer,5,"Aplikasi simple, pelayanan admin oke, ekspedisi juga oke., Harapan, kalo bisa contact admin bisa disertakan di contct layanan akun, apabila terjadi sprt prmbajakan dll. 🙏 Good apl good jobs 👍"
Beni Gambit,5,Thanks buat pengirimannya barang sudah sampai
Sy Mrnaa,5,"Aplikasinya bagus, membantu banget pokonyaa🤩🤩"
ramadian nur reviasari,3,Kecewa sama buka lapak. Komplain berkali kali jawaban kurang solutif. Muter muter ngga jelas. Padahal cuma pngn di cek transaksi yg kadaluarsa. Minta tolong dihapus tapi blm juga dihapus juga. Sehari sampe brp kali menghubungi cs. Tolong tingkatkan lagi.
Zay RizaL,4,"Sudah bagus,, paling tinggal Tingkatkan pelapak nya, tapi pilih² juga jangan sampe ada pelapak nakal yang mencoreng nama baik bukalapak!. biar pencarian lebih banyak pilihan"
Tri Gunawan,5,Aplikasinya sangat membantu Tolong limitnya di tambah dong biar dapet digunakan Soalnya nanggung banget
Cecep Gunawan,5,Belanja mudah Belanja aman...
Hendy Siputra Sancang,3,Kembangkan lagi untuk pitur promosinya supaya gak banyak yg berbayar
AGUNG PAMBUDI,5,Sangat Membantu mndapatkan sparepart yg sy cari..👍
Fajar Lazuardi,5,Aplikasinya bagus dan mudah digunakan
Qoalbi Qoalbi,5,Trimakasih bukalapak!!!! Responya cepat dan jg mudah😘😘
TEGUH ARIE FIANTO,5,Mudah dan tidak berat aplikasinya
david devan,5,apapun transaksinya pasti lancar..is the best lah
ROBI HERMAWAN94,5,Terus perbaiki layanan nya.banyakin bonusnya
helmi Idris,5,"Aplikasi yang bagus ,semoga sukses Bukalapak,proses cepat sangat membantu dalam bertransaksi,mantabbb"
Yulia Tita sari,4,"Untuk sementara aku kasih bintang 4 dulu ya bukalapak.. Soalnya belum nemuin masalahh jadi belum tau cara penyelesaian dari buka lapak bakalan gimana,, nanti kalau oke oke aja balik lagi buat ngasih bintang 5..."
special 64,1,"saya komplain tentang konfirmasi pembayaran, tapi tidak ada atau belum ada tanggapan, mau live chat juga prosesnya muter muter, intinya komplain lama. mohon diperhatikan, harusnya komplain dari konsumen segera di tanggapi sebagai layanan dari buka lapak, MOHON DIPERHATIKAN KOMPLAIN DARI KONSUMEN"
Pengguna Google,5,Hay buka lapak ini gimna milih barang yang dari jatim gk bisa bisa jakarta ma bandung ...duh susah bangt tolong dong di bantu singkat aj
Achmad Tijani,5,Sangat membantu untuk kebutuhan keluarga dll
Nurur Rohmania,5,Sangat ² membantu dan sangat nyaman di gunakan ❤️
Bromotjorah,5,"Acara serbu serunya mantap, meskipun ga pernah menang sejak awal ikutan, tapi ya namanya juga marketplace pasti fokus ke jualan, serbu seru hanya bonus untuk yang beruntung.tapi overall bukalapak bagus kok, teruskan 👍"
Muhammad Ibnu,5,Trimakasih pelatihanya sangat membantu dan jadi motifasi bagi saya untuk lebih maju dan lebih baik
ervin adriansyah,1,Bukalapak sekarang lepas tangan terhadap keluhan pelanggan. Padahal waktu dulu saya pernah mengajukan keluhan dan pihak bukalapak bisa menjadi fasilitator sampai terjadi kesepakatan antara penjual dan pembeli. Sekarang lepas tangan begitu saja terhadap penjual yang seenaknya merugikan pembeli.
Sumina Miyem,5,Mantap Aplikasi sangat membantu Semoga ke depannya pelayanan tetap amanah.
Iskandar Ghoiz,2,aplikasi bagus...server kurang baguuss..?????
Randi Irawan,5,"min kali-kali saya atuh yg dapet program serbu serbu pengguna setia bukalapak , makasih bukalapak"
Saharudin Saharudin,5,Pelayanannya cepat dan bagus
