	informal	formal
263	bawain	membawakan
264	bayangin	bayangkan
265	bayarin	membayarkan
266	bb	sayang
267	bbrp	beberapa
268	bby	sayang
269	bc	karena
270	bcs	karena
271	bct	banyak omong
272	bday	hari ulang tahun
273	bdg	Bandung
274	beaches	pantai-pantai
275	beautifull	cantik
276	beb	sayang
277	became	menjadi
278	becanda	bercanda
279	beda2	beda-beda
280	bedain	membedakan
281	bedua	berdua
282	began	memulai
283	begins	mulai
284	begitulah	seperti itulah
285	beliin	membelikan
286	belom	belum
287	bem	badan eksekutif mahasiswa
288	benar2	benar-benar
289	bener	benar
290	bener2	benar-benar
291	beneran	serius
292	benerin	benarkan
293	bensu	Ruben Onsu
294	bentaran	sebentar
295	beraktifitas	beraktivitas
296	beranih	berani
297	berantem	berhantam
298	berenti	berhenti
299	beresin	membereskan
300	berfikir	berpikir
301	berflower	berkembang
302	berkali2	berkali-kali
303	bermacam2	bermacam-macam
304	bersholawat	berselawat
305	bersihin	membersihkah
306	besok2	besok-besok
307	bestfriend	sahabat
308	bestie	sahabat
309	bete	bosan total
310	betol	betul
311	beud	sekali
312	bg	abang
313	bget	sangat
314	bgini	begini
315	bgitu	begitu
316	bgmn	bagaimana
317	bgni	seperti ini
318	bgsd	bangsat
319	bgst	bangsat
320	bgt	sekali
321	bgtt	sangat
322	bgttt	sangat
323	bgtu	begitu
324	bgus	bagus
325	bhs	bahas
326	bhw	bahwa
327	biarin	biarkan
328	bigmall	mall besar
329	bikers	pengendara sepeda
330	biking	bersepeda
331	bikin	membuat
332	bikinin	buatkan
333	bilangin	sampaikan
334	binggung	bingung
335	bio	biodata
336	birds	burung-burung
337	bisaa	bisa
338	bisaaa	bisa
339	bissmillah	bismillah
340	bkan	bukan
341	bikin	membuat
342	bkin	buat
343	bkn	bukan
344	bks	bekas
345	blang	berkata
346	blessings	anugerah
347	blg	berkata
348	blh	boleh
349	bli	beli
350	blk	kembali
351	blm	belum
352	bln	bulan
353	blom	belum
354	bls	balas
355	blum	belum
356	blusukan	masuk-masuk
357	bm	pasar gelap
358	bner	benar
359	banget	sangat
360	bnget	sangat
361	bngst	bangsat
362	bngt	sangat
363	bngun	bangun
364	bnr	benar
365	bntr	sebentar
366	bnyak	banyak
367	bnyk	banyak
368	bocil	bocah kecil
369	bodo	bodoh
370	bodoamat	masa bodoh
371	boemi	bumi
372	bokap	bapak
373	bokep	film porno
374	boker	buang air besar
375	boking	memesan
376	bolang	bocah petualang
377	books	buku
378	boong	bohong
379	bored	bosan
380	bosen	bosan
381	bosqu	bosku
382	bosque	bos
383	bosss	bos
384	boutique	butik
385	boyfriend	pacar laki-laki
386	boys	anak laki-laki
387	bp	bapak
388	bpk	bapak
389	br	baru
390	brader	saudara laki-laki
391	branding	merek
392	brani	berani
393	brapa	berapa
394	brarti	berarti
395	breaktime	waktu istirahat
396	breathtaking	mempesona
397	brg	barang
398	brighter	semakin bercahaya
399	brigjen	brigadir jenderal
400	brings	membawa
401	bro	mas
402	brothers	saudara laki-laki
403	brp	berapa
404	brrti	berarti
405	bru	baru
406	bruntusan	beruntusan
407	bruh	kawan
408	bs	bisa
409	bsa	bisa
410	bsk	besok
411	bsok	besok
412	bt	kesal
413	bth	butuh
414	btl	betul
415	btw	omong-omong
416	buatin	buatkan
417	bucin	budak cinta
418	buibu	ibu-ibu
419	bukak	buka
420	bukber	buka bersama
421	bukittinggi	bukit tinggi
422	bullshit	kotoran sapi
423	bulutangkis	bulu tangkis
424	bumil	ibu hamil
425	buru2	buru-buru
426	busui	ibu menyusui
427	bw	bawa
428	bwt	buat
429	by	dengan
430	byk	banyak
431	cafe	kafe
432	caffe	kafe
433	cai	air
434	cakes	kue
435	called	dipanggil
436	calls	telepon
437	callwa	telepon whatsapp
438	cantiq	cantik
439	capeknya	capainya
440	captionnya	keterangannya
441	captured	tertangkap
442	cariin	carikan
443	cars	mobil-mobil
444	catering	katering
445	cawapres	calon wakil presiden
446	cb	coba
447	celebrating	merayakan
448	cemilan	camilan
449	centre	pusat
450	ceo	direktur
451	cepet	cepat
452	ceritain	ceritakan
453	ceunah	katanya
454	cewe	perempuan
455	ceweknya	perempuannya
456	challenges	tantangan
457	champions	juara
458	changed	berubah
459	changes	merubah
460	changing	mengganti
461	cheers	bersulang
462	chinese	cina
463	choices	pilihan-pilihan
464	christ	kristian
465	christian	kristen
466	christmas	natal
467	cieee	ciye
468	cinemas	bioskop
469	cita2	cita-cita
470	ciwi	perempuan
471	closing	penutupan
472	clouds	awan-awan
473	cm	cuma
474	cma	cuman
475	cmn	cuman
476	cntik	cantik
477	cobain	mencoba
478	cobak	coba
479	coffe	kopi
480	coffeenatics	penyuka kopi
481	collab	kolaborasi
482	colours	warna
483	coment	komentar
484	cong	oi
485	congrats	selamat
486	congratulations	selamat
487	copas	copy paste
488	costum	kostum
489	couldnt	tidak bisa
490	countries	negara-negara
491	cowo	cowok
492	cp	capai
493	cpk	capek
494	cpt	cepat
495	cr	cara
496	created	dibuat
497	creating	menciptakan
498	cs	layanan pelanggan
499	cuan	uang
500	cucok	cocok
501	curhat	curahan hati
502	curug	air terjun
503	cusss	maju
504	customers	pelanggan
505	cuz	karena
506	cwe	perempuan
507	cwek	perempuan
508	cwo	laki-laki
509	cwok	laki-laki
510	cz	karena
511	daan	dan
512	dah	sudah
513	dahh	sudah
514	dann	dan
515	dapet	dapat
516	dapetin	mendapatkan
517	dapoer	dapur
518	darimana	dari mana
519	daritadi	dari tadi
520	dateng	datang
521	dd	adik
522	dearest	tercinta
523	december	desember
524	dech	sudah
525	decor	dekorasi
526	deg2an	berdebar-debar
527	degdegan	deg-degan
528	deh	deh
529	dehh	deh
530	dejavu	deja vu
531	deket	dekat
532	deketin	mendekati
533	del	hapus
534	denger	dengar
535	dengerin	mendengarkan
536	dengernya	dengarnya
537	depe	uang muka
538	depends	bergantung
539	depo	depot
540	dept	departemen
541	des	desember
542	deserves	pantas
543	details	detail
544	deui	lagi
545	devils	setan
546	dewe	sendiri
547	dewek	sendiri
548	dg	dengan
549	dgn	dengan
550	dgr	dengar
551	dh	sudah
552	dhe	deh
553	diaa	dia
554	diacara	di acara
555	diajakin	diajak
556	diajarin	diajarkan
557	diakhir	di akhir
558	diantara	di antara
559	diantaranya	di antaranya
560	diapain	diapakan
561	diaplikasi	di aplikasi
562	diatas	di atas
563	diawal	di awal
564	dibales	dibalas
565	dibawah	di bawah
566	dibelakang	di belakang
567	dibeliin	dibelikan
568	dibidang	di bidang
569	dibikin	dibuat
570	dibilang	dikatakan
571	dibilangin	dibilangi
572	dibully	dirundung
573	didalam	di dalam
574	didalamnya	di dalamnya
575	didepan	di depan
576	didunia	di dunia
577	dies	meninggal
578	difoto	di foto
579	difotoin	difoto
580	diguyur	disiram
581	dih	idih
582	dihari	di hari
583	dijadiin	dijadikan
584	dijalan	di jalan
585	dikala	di kala
586	dikamar	di kamar
587	dikampung	di kampung
588	dikampus	di kampus
589	dikantor	di kantor
590	dikasih	diberi
591	dikata	dikira
592	dikerjain	dikerjakan
593	dikirimin	dikirimkan
594	dikit	sedikit
595	dikit2	sedikit-sedikit
596	diklat	pendidikan kilat
597	dikosan	di kos
598	dikota	di kota
599	dilain	di lain
600	dilakuin	dilakukan
601	dilapangan	di lapangan
602	diliat	dilihat
603	diliatin	diperlihatkan
604	dilombok	di lombok
605	diluar	di luar
606	diluaran	di luaran
607	dimalam	di malam
608	dimana	di mana
609	dimana2	dimana-mana
610	dimanapun	di mana pun
611	dimarahin	dimarahi
612	dimasa	di masa
613	dimasukin	dimasukkan
614	dimata	di mata
615	dimna	dimana
616	dimuka	dimuka
617	diomongin	diomongi
618	dipagi	di pagi
619	dipake	dipakai
620	dipasaran	di pasaran
621	dipikirin	dipikirkan
622	dipinggir	di pinggir
623	diposisi	di posisi
624	dirumah	di rumah
625	dirut	direktur utama
626	disaat	di saat
627	disana	di sana
628	disebelah	di sebelah
629	disekitar	di sekitar
630	disekolah	di sekolah
631	diseluruh	di seluruh
632	disetiap	di setiap
633	dishub	dinas perhubungan
634	disini	di sini
635	disitu	di situ
636	disitulah	di situlah
637	ditahun	di tahun
638	ditangan	di tangan
639	ditanyain	ditanyai
640	ditemenin	ditemani
641	ditempat	di tempat
642	ditengah	di tengah
643	ditinggalin	ditinggalkan
644	diubah	dirubah
645	diujung	di ujung
646	diupload	di upload
647	diwaktu	di waktu
648	dj	disk jokey
649	djakarta	jakarta
650	dkt	dekat
651	dl	dulu
652	dlam	dalam
653	dlingo	Duo Lingo
654	dll	dan lain-lain
655	dlm	dalam
656	dlu	dulu
657	dmn	di mana
658	dmna	di mana
659	dn	dan
660	dng	dengan
661	dngn	dengan
662	doain	doakan
663	doank	saja
664	doh	aduh
665	dolo	dulu
666	dongg	dong
667	donggg	dong
668	dongs	dong
669	donk	dong
670	donlot	download
671	donut	donat
672	donuts	donat
673	doong	dong
674	doors	pintu
675	dpat	dapat
676	dpc	dewan pimpinan cabang
677	dpn	depan
678	dps	denpasar
679	dpt	dapat
680	dr	dari
681	drakor	drama korea
682	dreams	mimpi-mimpi
683	drg	dokter gigi
684	dri	dari
685	drinks	minuman-minuman
686	drmh	di rumah
687	drpd	daripada
688	ds	desa
689	dsb	dan sebagainya
690	dsini	di sini
691	dsni	di sini
692	dtg	datang
693	duhh	aduh
694	duhhh	aduh
695	duitnya	uangnya
696	duluan	mendahului
697	duluuu	dulu
698	durung	belum
699	duwe	punya
700	dy	dia
701	ea	iya
702	earlier	lebih awal
703	edited	diedit
704	editing	mengedit
705	edt	ubah
706	ee	tahi
707	eek	kotoran
708	ehehe	hehe
709	ehhh	eh
710	eid	idul
711	ekspetasi	ekspektasi
712	elek	jelek
713	emak2	ibu-ibu
714	emaknya	ibunya
715	emangnya	memangnya
716	emang	memang
717	emg	memang
718	emng	emang
719	emot	emote
720	emyu	Menchester United
721	enakan	lebih enak
722	endingnya	akhirnya
723	ends	berakhir
724	eneg	enek
725	enggak	tidak
726	engga	tidak
727	england	inggris
728	english	bahasa inggris
729	enjing	pagi
730	enjoyed	dinikmati
731	enk	enak
732	entek	habis
733	este	es teh
734	etc	dan lain-lain
735	eu	eropa
736	eug	saya
737	europe	Eropa
738	events	acara
739	everythings	semuanya
740	everytime	setiap saat
741	ex	eks
742	exercising	olah raga
743	experiences	pengalaman-pengalaman
744	eye	mata
745	eyes	mata
746	faces	muka
747	facts	fakta
748	failed	gagal
749	fak	brengsek
750	fakboi	fuck boy
751	fakenail	kuku palsu
752	falls	jatuh
753	families	keluarga
754	familys	keluarga
755	fams	keluarga
756	fastpay	pembayaran cepat
757	fathers	para ayah
758	fav	favorit
759	fave	favorit
760	favourite	favorit
761	fb	facebook
762	featuring	menampilkan
763	feb	februari
764	february	februari
765	feelings	perasaan
766	feels	merasa
767	feet	kaki
768	feliz	bahagia
769	fellas	teman
770	fgd	diskusi kelompok terpumpun
771	fields	bidang
772	fikir	pikir
773	fikiran	pikiran
774	firefighter	pemadam kebakaran
775	fk	fakultas kedokteran
776	flashback	kilas balik
777	flek	jerawat
778	flowers	bunga
779	flyover	jembatan layang
780	fm	football manager
781	folback	ikuti balik
782	folbek	follow balik
783	folks	saudara-saudara
784	follback	mengikuti kembali
785	followed	diikuti
786	followers	pengikut
787	foods	makanan
788	foto2	foto-foto
789	fotoin	memotretkan
790	fpi	front pembela islam
791	french	perancis
792	friday	jumat
793	friends	teman-teman
794	fruits	buah
795	ft	menampilkan
796	fuck	tahi
797	fyi	sekedar informasi
798	g	tidak
799	ga	tidak
800	gaa	tidak
801	gaada	tidak ada
802	gabakal	tidak akan
803	gabisa	tidak bisa
804	gabole	tidak boleh
805	gaboleh	tidak boleh
806	gabut	gaji buta
807	gaenak	tidak enak
808	gaes	kawan-kawan
809	gaess	teman-teman
810	gaesss	teman-teman
811	gais	teman-teman
812	gajadi	tidak jadi
813	gaje	tidak jelas
814	gajelas	tidak jelas
815	gak	tidak
816	gakuat	tidak kuat
817	galery	galeri
818	galo	galau
819	gamau	tidak mau
820	gangerti	tidak mengerti
821	gangguin	ganggu
822	gank	gang
823	gantengnya	tampannya
824	gantian	bergantian
825	gapake	tidak pakai
826	gapapa	tidak apa-apa
827	gaperlu	tidak perlu
828	gapernah	tidak pernah
829	gapunya	tidak punya
830	gara2	gara-gara
831	gass	gas
832	gasss	gas
833	gassss	gas
834	gasuka	tidak suka
835	gatau	tidak tahu
836	gatel	gatal
837	gatsu	gatot subroto
838	gausa	tidak usah
839	gausah	tidak usah
840	gawe	bekerja
841	gblk	goblok
842	gbu	semoga tuhan memberkati
843	gedhe	besar
844	geesss	teman-teman
845	gegara	gara-gara
846	gelem	bersedia
847	gemes	gemas
848	genk	geng
849	genks	kumpulan
850	gercep	gerak cepat
851	germany	jerman
852	gets	mendapatkan
853	geus	adalah
854	gf	pacar
855	ghibah	gosip
856	gilaaa	gila
857	gilak	gila
858	gile	gila
859	gimana	bagaimana
860	gimna	bagaimana
861	gini	begini
862	ginian	seperti ini
863	girls	para gadis
864	gitu	begitu
865	gituu	seperti itu
866	gituuu	begitu
867	gives	memberi
868	gk	tidak
869	gmana	bagaimana
870	gmn	bagaimana
871	gmna	bagaimana
872	gn	begini
873	gni	seperti ini
874	go	pergi
875	goals	tujuan
876	goblog	goblok
877	gods	tuhan
878	gokil	gila
879	gonna	akan
880	goodbye	selamat tinggal
881	goodbyes	selamat tinggal
882	goodluck	selamat berjuang
883	goodnight	selamat malam
884	gosah	tidak usah
885	gotta	harus
886	gowes	bersepeda
887	gpp	tidak apa-apa
888	gr	gara-gara
889	gracias	terima kasih
890	grande	besar
891	gratisan	gratis
892	gratisss	gratis
893	greatest	terbaik
894	greetings	salam
895	grgr	gara-gara
896	gt	begitu
897	gtu	begitu
898	gua	saya
899	gub	gubernur
900	gue	saya
901	gunungkidul	gunung kidul
902	gunungsari	gunung sari
903	guys	kawan-kawan
904	guyss	teman-teman
905	guysss	teman-teman
906	gw	saya
907	gwa	saya
908	gws	semoga cepat sembuh
909	gx	tidak
910	haaa	ha
911	hadeh	aduh
912	hadeuh	aduh
913	haduh	aduh
914	haha	hahaha
915	hahaa	hahaha
916	hahah	hahaha
917	hahahaa	hahaha
918	hahahah	hahaha
919	hahahaha	hahaha
920	hahahahaa	hahaha
921	hahahahah	hahaha
922	hahahahaha	hahaha
923	hahahahahaha	hahaha
924	hahahahahahaha	hahaha
925	hahahahha	hahaha
926	hahahha	hahaha
927	hahahhaa	hahaha
928	hahha	hahaha
929	hahhaa	haha
930	hahhaha	hahaha
931	haii	hai
932	haiii	hai
933	hal2	hal-hal
934	hallo	halo
935	haloo	halo
936	halooo	halo
937	halu	halusinasi
938	hands	tangan-tangan
939	hape	handphone
940	happened	terjadi
941	happens	terjadi
942	happines	kebahagiaan
943	hardcover	sampul keras
944	hardest	tersulit
945	hari2	hari-hari
946	hasilnyaaa	hasilnya
947	hastag	tagar
948	haters	pembenci
949	hati2	hati-hati
950	hatur	terima
951	having	memiliki
952	hayam	ayam
953	hayoo	ayo
954	hayooo	ayo
955	hayu	ayo
956	hayuk	ayo
957	hbd	selamat ulang tahun
958	hbis	habis
959	hbs	habis
960	heard	didengar
961	hedon	hedonisme
962	hehe	hahaha
963	hehee	haha
964	heheh	hahaha
965	hehehe	hahaha
966	heheheh	hahaha
967	hehehehe	hahaha
968	held	ditahan
969	helped	ditolong
970	helps	tolong
971	hepi	senang
972	heres	di sini
973	heroes	pahlawan
974	hes	dia
975	heuheu	hehe
976	heula	dahulu
977	heyy	hey
978	hha	haha
979	hhe	haha
980	hihi	hahaha
981	hihihi	hahaha
982	hiking	mendaki
983	hiks	huhu
984	hilih	halah
985	hills	perbukitan
986	hitz	populer
987	hiya	hai
988	hj	haji
989	hlm	halaman
990	hmi	himpunan mahasiswa indonesia
991	hmmm	hmm
992	hmmmmm	hm
993	hny	hanya
994	hnya	hanya
995	hoaks	informasi bohong
996	hoby	hobi
997	hola	halo
998	holidays	hari libur
999	homecoming	prom
1000	homes	rumah
1001	homestay	rumah singgah
1002	hometown	kampung halaman
1003	hongkong	hong kong
1004	honour	honor
1005	hoo	oh
1006	hopes	harapan
1007	hoping	berharap
1008	horison	cakrawala
1009	hours	berjam-jam
1010	hp	handphone
1011	hq	markas besar
1012	hr	hari
1013	hrg	harga
1014	hri	hari
1015	hrs	harus
1016	hrus	harus
1017	hti	hati
1018	hu	huhuhu
1019	huhu	huhuhu
1020	humans	manusia
1021	hurts	menyakitkan
1022	hy	hai
1023	hype	sensasi
1024	ibu2	ibu-ibu
1025	ibukota	ibu kota
1026	ideas	ide-ide
1027	idk	tidak tahu
1028	idr	rupiah
1029	idung	hidung
1030	idup	hidup
1031	ied	idul
1032	ieu	ini
1033	if	jika
1034	ig	Instagram
1035	ihh	ih
1036	iii	ih
1037	ijin	izin
1038	ijo	hijau
1039	iki	ini
1040	iku	itu
1041	ikutin	mengikuti
1042	il	sang
1043	ilang	hilang
1044	im	aku sedang
1045	in	di
1046	including	termasuk
1047	indian	orang india
1048	indo	indonesia
1049	indonesian	Indonesia
1050	indonesias	indonesia
1051	inframe	di dalam bingkai
1052	inget	ingat
1053	ingetin	ingatkan
1054	inih	ini
1055	inii	ini
1056	iniii	ini
1057	insom	insomnia
1058	instal	install
1059	insyaa	insya
1060	insyaallah	insya allah
1061	insyallah	insya allah
1062	introducing	memperkenalkan
1063	invited	diundang
1064	ipk	indeks prestasi kumulatif
1065	ips	ilmu pengetahuan sosial
1066	iqro	iqra
1067	ireng	hitam
1068	is	adalah
1069	islamic	keislaman
1070	islands	pulau-pulau
1071	isnt	bukan
1072	isok	bisa
1073	isteri	istri
1074	istighfar	istigfar
1075	istora	istana olah raga
1076	isuk	besok
1077	it	itu
1078	italian	italia
1079	itam	hitam
1080	items	barang
1081	itung	hitung
1082	itupun	itu pun
1083	ituu	itu
1084	ituuu	itu
1085	ive	saya sudah
1086	iyaa	iya
1087	iyaaa	iya
1088	iyaaaa	iya
1089	iyah	iya
1090	iyain	iyakan
1091	iyak	iya
1092	iye	iya
1093	iyoo	iya
1094	ja	ya
1095	jadian	berhubungan
1096	jadiin	jadikan
1097	jadul	jaman dulu
1098	jagad	jagat
1099	jagain	menjaga
1100	jaim	jaga penampilan
1101	jajaja	hahaha
1102	jak	jakarta
1103	jakpus	jakarta pusat
1104	jaksel	Jakarta Selatan
1105	jalan2	jalan-jalan
1106	jalanin	menjalani
1107	jamannya	zamannya
1108	jamming	tersumbat
1109	jan	januari
1110	jancok	tahi
1111	jang	ujang
1112	jangan2	jangan-jangan
1113	jannatul	surga
1114	january	januari
1115	japri	jalur pribadi
1116	jarang2	jarang-jarang
1117	jastip	jasa titip
1118	jateng	jawa tengah
1119	jatim	jawa timur
1120	jatoh	jatuh
1121	jauh2	jauh-jauh
1122	jb	Jual Beli
1123	jd	jadi
1124	jdi	jadi
1125	jebul	ternyata
1126	jelasin	menjelaskan
1127	jend	jendral
1128	jesus	yesus
1129	jeung	jeng
1130	jg	juga
1131	jga	juga
1132	jgan	jangan
1133	jgn	jangan
1134	jingan	bajingan
1135	jkt	jakarta
1136	jl	jalan
1137	jln	jalan
1138	jm	jam
1139	jng	jangan
1140	jngan	jangan
1141	jngn	jangan
1142	jo	jangan
1143	jobs	pekerjaan
1144	jogja	Yogyakarta
1145	jokes	lelucon
1146	jones	jomblo mengenaskan
1147	jowo	jawa
1148	jr	junior
1149	jt	juta
1150	jua	juga
1151	jugaa	juga
1152	jugaaa	juga
1153	jugak	juga
1154	jugo	juga
1155	jujurly	jujur
1156	july	juli
1157	jumping	loncat
1158	juve	juventus
1159	jw	jiwa
1160	jwb	jawab
1161	k3	ketiga
1162	kab	kabupaten
1163	kabarin	kabari
1164	kabeh	semua
1165	kabid	kepala bidang
1166	kabupatenkota	kabupaten kota
1167	kadis	kepala dinas
1168	kaga	tidak
1169	kakak2	kakak-kakak
1170	kaki2	kaki-kaki
1171	kakk	kak
1172	kakkk	kak
1173	kaks	kak
1174	kalbar	kalimantan barat
1175	kalean	kalian
1176	kalii	kali
1177	kalo	kalau
1178	kalok	kalau
1179	kaltim	kalimantan timur
1180	kalu	kalau
1181	kambingbuntutdaging	kambing buntut daging
1182	kampoeng	kampung
1183	kamuu	kamu
1184	kamuuu	kamu
1185	kanaan	kanan
1186	kann	kan
1187	kannn	kan
1188	kanwil	kantor wilayah
1189	kao	kau
1190	karna	karena
1191	karoke	karaoke
1192	kasian	kasihan
1193	kasihhh	kasih
1194	kata2	kata-kata
1195	katanya	saya dengar
1196	kawan2	kawan-kawan
1197	kayaknya	sepertinya
1198	kayanya	sepertinya
1199	kcp	kecap
1200	kdg	kadang
1201	kdrama	drama korea
1202	ke2	kedua
1203	keatas	ke atas
1204	kebalik	terbalik
1205	kebanggan	kebanggaan
1206	kebangun	terbangun
1207	kebawa	terbawa
1208	kebawah	ke bawah
1209	kebayang	terbayang
1210	kebelakang	ke belakang
1211	kebeli	terbeli
1212	kebuka	terbuka
1213	kec	kecamatan
1214	kedalam	ke dalam
1215	kedaton	istana
1216	kedepan	ke depan
1217	kedepannya	ke depan
1218	kedhai	kedai
1219	keempat	ke empat
1220	keeps	tetap
1221	keinget	teringat
1222	kejebak	terjebak
1223	kejepit	terjepit
1224	keknya	sepertinya
1225	kel	kelurahan
1226	kelaperan	kelaparan
1227	kelen	kalian
1228	keliatan	kelihatan
1229	keluarin	keluarkan
1230	kemana	ke mana
1231	kemana2	ke mana-mana
1232	kemanapun	ke manapun
1233	kemaren	kemarin
1234	kemenpar	kementrian pariwisata
1235	kenali	mengenali
1236	kenalin	kenalkan
1237	kenapaa	kenapa
1238	kene	kita
1239	kepake	terpakai
1240	kepengen	ingin
1241	kepikiran	terpikir
1242	kepoin	ingin mengetahui
1243	kerasa	terasa
1244	keringetan	berkeringat
1245	kerjaan	pekerjaan
1246	kerjaannya	pekerjaannya
1247	kerjain	kerjakan
1248	kerjasama	kerja sama
1249	kerjo	kerja
1250	kerumah	ke rumah
1251	kesampean	tercapai
1252	kesana	ke sana
1253	keseringan	terlalu sering
1254	kesian	kasihan
1255	kesini	ke sini
1256	ketauan	ketahuan
1257	ketempat	ke tempat
